Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2017-02-19 12:00 AM,,6,44,21,2,2,1,,,,,,
2017-02-21 12:00 AM,,,22,28,14,2,1,,,,,,
2017-02-23 12:00 AM,,,18,17,25,3,1,,,,,,
2017-02-25 12:00 AM,,,5,19,12,20,1,,,,,,
2017-02-27 12:00 AM,,,5,6,14,26,,2,1,,,,
2017-03-01 12:00 AM,,,2,4,10,32,,1,,1,,,
2017-03-03 12:00 AM,,,,8,3,33,,2,,,,,
2017-03-05 12:00 AM,,,,3,1,18,6,8,,1,,2,"88,72"
2017-03-07 12:00 AM,,,,2,1,14,7,10,,1,,3,"33,28,25"
2017-03-09 12:00 AM,,,,,1,7,8,11,2,3,,5,"64,49,31,28,75"
2017-03-11 12:00 AM,,,,,,5,6,10,2,2,,1,48
2017-03-13 12:00 AM,,,,,,3,3,4,,7,,,
2017-03-15 12:00 AM,39,,,,,3,1,2,2,2,,1,37
2017-03-17 12:00 AM,38,4,,,,2,,3,1,1,,,
2017-03-19 12:00 AM,2,23,2,,,2,,1,,2,,,
2017-03-21 12:00 AM,,16,,,,,,,,1,,,
2017-03-23 12:00 AM,,,16,,,,,,,,,,
2017-03-25 12:00 AM,,,15,,,,,,,,,,
2017-03-27 12:00 AM,,,10,3,,,,,,,,,
2017-03-29 12:00 AM,,,1,8,3,,,,,,,,
2017-03-31 12:00 AM,,,1,4,6,,,,,,,,
2017-04-02 12:00 AM,,,,2,3,4,,,,,,,
2017-04-04 12:00 AM,,,,,4,5,,,,,,,
2017-04-06 12:00 AM,,,,,2,7,,,,,,,
2017-04-08 12:00 AM,,,,,,8,,1,,,,,
2017-04-10 12:00 AM,,,,,,5,2,2,,,,,
2017-04-12 12:00 AM,,,,,,3,2,2,,,,4,"30,44,56,58"
2017-04-14 12:00 AM,,,,,,2,2,2,1,,,,
2017-04-16 12:00 AM,126,,,,,,1,1,,2,,1,126
2017-04-18 12:00 AM,75,,,,,,1,,,,,3,"74,27,32"
2017-04-20 12:00 AM,33,1,,,,,1,,,,,,
2017-04-22 12:00 AM,3,21,,,,,,,1,,,,
2017-04-24 12:00 AM,12,6,16,,,,,,,,,,
2017-04-26 12:00 AM,4,4,17,,,,,,,,,,
2017-04-28 12:00 AM,,3,13,6,,,,,,,,,
2017-04-30 12:00 AM,,2,5,11,,,,,,,,,
2017-05-02 12:00 AM,,,6,3,8,,,,,,,,
2017-05-04 12:00 AM,,,3,3,7,3,,,,,,,
2017-05-06 12:00 AM,,,1,3,2,7,,,,,,,
2017-05-08 12:00 AM,,,1,2,2,9,,,,,,,
2017-05-10 12:00 AM,,,,2,3,8,,,,,,,
2017-05-12 12:00 AM,,,1,1,,5,3,3,,,,,
2017-05-14 12:00 AM,,,1,1,,4,3,3,,,,,
2017-05-16 12:00 AM,,,1,1,,2,,,3,3,,1,54
2017-05-18 12:00 AM,,,1,,,2,,,,,,,
2017-05-20 12:00 AM,,,,1,,,,,,,,,
2017-05-22 12:00 AM,15,,,,,,,,,,,,
2017-05-24 12:00 AM,18,9,,,,,,,,,,,
2017-05-26 12:00 AM,4,9,9,,,,,,,,,,
2017-05-28 12:00 AM,1,7,13,2,,,,,,,,,
2017-05-30 12:00 AM,,,18,1,,,,,,,,,
2017-06-01 12:00 AM,,,10,4,2,,,,,,,,
2017-06-03 12:00 AM,,,4,5,4,,,,,,,,
2017-06-05 12:00 AM,,,2,2,7,2,,,,,,,
2017-06-07 12:00 AM,,,,3,3,5,,,,,,,
2017-06-09 12:00 AM,,,,2,1,7,,,,,,,
2017-06-11 12:00 AM,,,,,,6,1,,,,,,
2017-06-13 12:00 AM,,,,,,4,3,,,,,,
2017-06-15 12:00 AM,,,,,,4,3,,,,,,
2017-06-17 12:00 AM,,,,,,2,4,1,,,,1,33
2017-06-19 12:00 AM,,,,,,,1,1,3,,,1,49
2017-06-21 12:00 AM,,,,,,,,,1,1,,,
2017-06-23 12:00 AM,,,,,,,,,,,,,
2017-06-25 12:00 AM,15,,,,,,,,,,,,
2017-06-27 12:00 AM,32,,,,,,,,,,,,
2017-06-29 12:00 AM,4,13,,,,,,,,,,,
2017-07-01 12:00 AM,1,15,,,,,,,,,,,
2017-07-03 12:00 AM,,,16,,,,,,,,,,
